location,size_sqft,property_type,age_years,floor,market_price
Mumbai,2511,Independent House,10,20,46101960.0
Ahmedabad,737,Villa,24,14,13442880.0
Ahmedabad,4462,Independent House,37,24,91359450.0
Ahmedabad,3571,Independent House,13,26,63378108.0
Bangalore,3692,Apartment,26,28,53275560.0
Ahmedabad,2995,Apartment,13,7,54197520.0
Kolkata,4778,Apartment,15,7,109655100.0
Mumbai,1496,Villa,37,20,22619520.0
Ahmedabad,1509,Townhouse,37,16,22816080.0
Ahmedabad,4936,Independent House,3,14,71818800.0
Hyderabad,1158,Independent House,9,11,12645360.0
Hyderabad,1315,Villa,0,15,26300000.0
Mumbai,1858,Apartment,39,19,20400840.0
Chennai,410,Apartment,0,13,4920000.0
Delhi,3830,Townhouse,39,14,42053400.0
Mumbai,3901,Independent House,36,9,44939520.0
Kolkata,3394,Townhouse,7,21,73860228.0
Delhi,762,Independent House,29,4,14607540.0
Mumbai,3165,Villa,33,6,57254850.0
Ahmedabad,1626,Townhouse,33,11,19609560.0
Ahmedabad,2163,Villa,7,9,75434625.0
Chennai,516,Independent House,27,5,8814312.0
Delhi,2643,Villa,34,17,31398840.0
Kolkata,1804,Apartment,39,18,27511000.0
Ahmedabad,2359,Villa,30,22,28072100.0
Delhi,2880,Apartment,26,7,41558400.0
Hyderabad,1449,Apartment,26,17,25734240.0
Ahmedabad,4681,Townhouse,15,23,119365500.0
Hyderabad,1149,Independent House,19,11,13960350.0
Ahmedabad,2148,Townhouse,12,2,30243840.0
Pune,977,Independent House,38,8,18172200.0
Mumbai,1699,Independent House,14,29,34190676.0
Mumbai,1273,Independent House,31,9,15810660.0
Hyderabad,3050,Independent House,1,7,57974400.0
Delhi,1292,Villa,16,21,40698000.0
Kolkata,3088,Villa,31,6,51137280.0
Bangalore,2481,Independent House,35,9,24189750.0
Hyderabad,4474,Villa,25,6,43621500.0
Hyderabad,1954,Independent House,36,24,16257280.0
Kolkata,3085,Independent House,21,23,47524425.0
Hyderabad,1079,Independent House,39,4,19745700.0
Mumbai,4898,Independent House,20,24,61127040.0
Mumbai,4711,Villa,23,12,69647424.0
Mumbai,1979,Apartment,39,8,28972560.0
Bangalore,2724,Villa,11,3,49456944.0
Delhi,384,Townhouse,12,10,6082560.0
Bangalore,4166,Apartment,37,19,59053050.0
Hyderabad,2988,Townhouse,33,21,48047040.0
Pune,3102,Villa,33,26,46762650.0
Hyderabad,2558,Apartment,2,15,39106704.0
Pune,2871,Independent House,28,6,31006800.0
Chennai,1306,Apartment,23,26,25140500.0
Ahmedabad,589,Townhouse,30,27,8039850.0
Bangalore,3661,Townhouse,26,26,81274200.0
Chennai,867,Villa,33,23,15684030.0
Pune,3929,Townhouse,32,1,53434400.0
Pune,4605,Villa,31,18,70221645.0
Pune,2813,Townhouse,21,14,40000860.0
Hyderabad,4425,Apartment,39,20,53985000.0
Delhi,4339,Townhouse,3,9,101011920.0
Bangalore,4122,Townhouse,25,1,74196000.0
Bangalore,1121,Apartment,16,4,22599360.0
Ahmedabad,4435,Townhouse,2,12,83448960.0
Chennai,4673,Independent House,29,15,79627920.0
Ahmedabad,3676,Villa,23,11,91991900.0
Mumbai,3390,Villa,36,6,47948160.0
Hyderabad,718,Independent House,24,14,11786688.0
Pune,3178,Independent House,15,2,48623400.0
Kolkata,480,Independent House,15,3,7344000.0
Kolkata,4931,Townhouse,8,7,87101184.0
Ahmedabad,4145,Independent House,29,24,79459650.0
Hyderabad,1205,Villa,35,13,25455625.0
Chennai,2397,Townhouse,4,22,55226880.0
Delhi,3839,Apartment,0,7,69102000.0
Ahmedabad,3317,Independent House,8,10,67441244.0
Hyderabad,2969,Independent House,36,20,37053120.0
Ahmedabad,2357,Villa,0,1,70710000.0
Kolkata,1213,Townhouse,16,14,22925700.0
Delhi,2241,Villa,19,18,28317276.0
Pune,3279,Independent House,20,11,40921920.0
Kolkata,1237,Villa,25,24,15771750.0
Pune,465,Townhouse,20,3,6696000.0
Chennai,2863,Villa,20,3,35730240.0
Pune,2821,Villa,25,27,45700200.0
Mumbai,327,Villa,16,5,4285008.0
Delhi,3822,Townhouse,29,1,42332472.0
Hyderabad,3537,Apartment,2,24,76604346.0
Delhi,1519,Apartment,7,8,42380100.0
Kolkata,3735,Villa,21,14,59013000.0
Mumbai,519,Independent House,5,11,7691580.0
Mumbai,1972,Townhouse,11,7,45632080.0
Ahmedabad,4739,Townhouse,1,28,91486395.0
Ahmedabad,2775,Apartment,0,20,43290000.0
Pune,1902,Apartment,25,15,30812400.0
Ahmedabad,336,Townhouse,34,14,3747744.0
Pune,550,Townhouse,22,6,7722000.0
Pune,1390,Independent House,17,23,29419350.0
Bangalore,2175,Villa,3,16,45570600.0
Mumbai,3681,Independent House,23,10,55270215.0
Kolkata,909,Independent House,15,27,11126160.0
Pune,2226,Townhouse,31,22,18431280.0
Mumbai,3422,Apartment,25,19,76995000.0
Chennai,4882,Villa,33,28,39251280.0
Pune,1554,Apartment,0,3,24864000.0
Hyderabad,4666,Villa,37,17,95536350.0
Pune,3715,Apartment,19,3,72219600.0
Mumbai,1289,Villa,10,6,20881800.0
Delhi,3010,Villa,37,21,48355650.0
Kolkata,3214,Independent House,9,20,87742200.0
Kolkata,392,Villa,21,20,4831008.0
Kolkata,2221,Villa,36,3,42643200.0
Chennai,2586,Apartment,1,2,83204550.0
Chennai,1526,Villa,22,1,15473640.0
Bangalore,1224,Villa,3,29,21371040.0
Mumbai,3623,Villa,2,2,92314040.0
Mumbai,2343,Apartment,32,16,31068180.0
Hyderabad,3495,Villa,6,15,88703100.0
Chennai,1341,Townhouse,11,2,24824592.0
Hyderabad,2306,Villa,30,19,29055600.0
Kolkata,1824,Townhouse,16,21,45964800.0
Delhi,3374,Independent House,14,11,64126244.0
Delhi,1929,Villa,6,4,40073046.0
Ahmedabad,558,Independent House,38,9,9340920.0
Pune,2063,Townhouse,38,6,26604448.0
Chennai,2722,Apartment,37,2,33439770.0
Pune,4642,Independent House,27,27,74889386.0
Mumbai,3462,Villa,5,29,39466800.0
Ahmedabad,3154,Apartment,30,11,55195000.0
Ahmedabad,2661,Apartment,35,21,31133700.0
Kolkata,1081,Townhouse,3,20,28311390.0
Pune,4419,Villa,4,4,101813760.0
Chennai,1528,Apartment,5,22,27870720.0
Kolkata,2061,Townhouse,6,13,39521736.0
Mumbai,2160,Townhouse,37,17,36741600.0
Delhi,1410,Apartment,0,18,20304000.0
Kolkata,4004,Villa,1,21,99099000.0
Delhi,993,Independent House,12,22,16777728.0
Hyderabad,3142,Townhouse,5,21,35818800.0
Chennai,3801,Villa,4,23,54734400.0
Mumbai,2665,Independent House,31,22,55165500.0
Delhi,3192,Villa,13,1,46931976.0
Pune,3482,Independent House,7,27,97147800.0
Bangalore,1937,Independent House,29,12,22004320.0
Bangalore,4236,Independent House,16,21,64048320.0
Kolkata,3124,Townhouse,17,23,62230080.0
Chennai,402,Independent House,16,3,7023744.0
Delhi,1624,Independent House,17,1,30328200.0
Pune,3765,Independent House,17,15,70311375.0
Bangalore,1139,Independent House,28,17,13121280.0
Chennai,2642,Apartment,2,14,60586344.0
Bangalore,2470,Villa,10,11,37791000.0
Ahmedabad,1757,Independent House,9,25,33256496.0
Pune,4766,Villa,26,24,84644160.0
Mumbai,3049,Townhouse,21,14,53232491.0
Mumbai,1697,Apartment,20,14,24436800.0
Hyderabad,4959,Apartment,15,9,101163600.0
Mumbai,4103,Townhouse,30,4,48538490.0
