location,size_sqft,property_type,age_years,floor,market_price
Delhi,2503,Villa,16,2,27332760.0
Mumbai,1536,Townhouse,37,26,24675840.0
Mumbai,2870,Apartment,15,26,73185000.0
Chennai,4561,Villa,11,18,48711480.0
Pune,1694,Townhouse,19,26,26345088.0
Delhi,1995,Apartment,23,21,27650700.0
Pune,4424,Apartment,3,22,77243040.0
Ahmedabad,3992,Apartment,10,7,61077600.0
Hyderabad,2370,Townhouse,27,20,33736950.0
Delhi,4027,Villa,34,17,51827490.0
Kolkata,3177,Villa,16,0,41631408.0
Bangalore,1293,Villa,30,12,18464040.0
Pune,3082,Independent House,19,23,63658710.0
Hyderabad,334,Townhouse,36,5,3334656.0
Chennai,3118,Independent House,5,24,66647250.0
Hyderabad,703,Villa,10,23,9870120.0
Pune,4112,Independent House,25,1,55512000.0
Hyderabad,3296,Villa,38,25,51088000.0
Chennai,3138,Villa,39,5,41346288.0
Bangalore,2299,Villa,15,5,33025135.0
Mumbai,1950,Villa,6,18,54990000.0
Hyderabad,4721,Villa,15,14,86677560.0
Chennai,1851,Villa,32,13,30208320.0
Delhi,2580,Apartment,37,3,39009600.0
Kolkata,3663,Apartment,29,12,53054892.0
Delhi,2307,Apartment,38,8,30895344.0
Hyderabad,3417,Villa,20,19,52485120.0
Kolkata,1222,Villa,5,16,23218000.0
Ahmedabad,454,Independent House,8,4,9230728.0
Pune,2699,Townhouse,3,4,98176125.0
Delhi,3480,Villa,23,15,72349200.0
Chennai,2577,Villa,13,0,34975044.0
Chennai,4150,Villa,11,21,94184250.0
Pune,631,Independent House,22,19,10040472.0
Kolkata,4701,Villa,8,13,95580732.0
Mumbai,507,Villa,9,16,7197372.0
Hyderabad,1493,Townhouse,0,13,29860000.0
Pune,4658,Villa,26,1,58597640.0
Hyderabad,2666,Independent House,14,24,74514700.0
Ahmedabad,567,Apartment,26,11,10069920.0
Chennai,4763,Villa,29,28,87924980.0
Mumbai,2012,Apartment,5,11,32302660.0
Mumbai,4499,Apartment,1,22,66810150.0
Hyderabad,2017,Independent House,18,17,31755648.0
Kolkata,2986,Independent House,29,28,38161080.0
Bangalore,1717,Independent House,7,1,43113870.0
Hyderabad,4822,Independent House,30,19,68858160.0
Mumbai,3509,Townhouse,33,22,52898175.0
Delhi,1504,Independent House,26,11,20033280.0
Ahmedabad,2117,Apartment,30,20,35565600.0
Pune,2685,Townhouse,22,10,56546100.0
Hyderabad,2980,Villa,36,8,29752320.0
Mumbai,3750,Apartment,31,12,46575000.0
Delhi,3268,Apartment,5,28,93138000.0
Ahmedabad,686,Independent House,31,13,5680080.0
Hyderabad,328,Apartment,14,13,5754432.0
Pune,880,Villa,1,15,14723280.0
Chennai,4662,Townhouse,1,5,71999928.0
Mumbai,4164,Townhouse,6,21,101768160.0
Ahmedabad,1678,Independent House,29,28,30975880.0
Ahmedabad,2990,Independent House,31,17,44562960.0
Mumbai,1182,Villa,25,9,21276000.0
Delhi,1433,Independent House,5,28,24504300.0
Bangalore,2888,Independent House,12,26,45745920.0
Ahmedabad,4221,Apartment,23,11,121881375.0
Pune,3943,Villa,13,20,102912300.0
Delhi,4174,Independent House,15,19,85149600.0
Chennai,1319,Villa,27,23,31293275.0
Delhi,2909,Villa,4,27,72608640.0
Ahmedabad,3253,Villa,20,16,41638400.0
Kolkata,4033,Independent House,2,8,92484756.0
Pune,3004,Independent House,13,3,66643740.0
Ahmedabad,4996,Townhouse,23,26,75014940.0
Hyderabad,2475,Apartment,18,22,48708000.0
